borough_name,district_name,post_id,post_name,party_group_name,candidate_name,votes
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Autre,GURBERG Bernard,25
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Autre,ILUNGA Fabrice Ntompa,34
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Autre,LEMCO Tyler,10
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Autre,TESSIER Philippe,17
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Autre,THIBODEAU Gilbert,22
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Coalition,FORTIER Jean,101
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Coderre,CODERRE Denis,5657
Ahuntsic-Cartierville,Ahuntsic,"0,00",Mairie de Montréal,Projet,PLANTE Valérie,5502
Ahuntsic-Cartierville,Ahuntsic,"1,00",Mairie d'arrondissement,Coderre,CHITILIAN Harout,4441
Ahuntsic-Cartierville,Ahuntsic,"1,00",Mairie d'arrondissement,Projet,THUILLIER Émilie,6850
Ahuntsic-Cartierville,Ahuntsic,"1,30",Conseil de Ville,Coalition,LACHAPELLE Pierre,585
Ahuntsic-Cartierville,Ahuntsic,"1,30",Conseil de Ville,Coderre,MELANÇON Raphaël,4432
Ahuntsic-Cartierville,Ahuntsic,"1,30",Conseil de Ville,Projet,GOULET Nathalie,6246
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Autre,GURBERG Bernard,37
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Autre,ILUNGA Fabrice Ntompa,37
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Autre,LEMCO Tyler,18
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Autre,TESSIER Philippe,15
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Autre,THIBODEAU Gilbert,34
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Coalition,FORTIER Jean,161
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Coderre,CODERRE Denis,5538
Ahuntsic-Cartierville,Bordeaux-Cartierville,"0,00",Mairie de Montréal,Projet,PLANTE Valérie,3047
Ahuntsic-Cartierville,Bordeaux-Cartierville,"1,00",Mairie d'arrondissement,Coderre,CHITILIAN Harout,5754
Ahuntsic-Cartierville,Bordeaux-Cartierville,"1,00",Mairie d'arrondissement,Projet,THUILLIER Émilie,3104
Ahuntsic-Cartierville,Bordeaux-Cartierville,"1,40",Conseil de Ville,Coalition,KARABAJAK Shant,486
Ahuntsic-Cartierville,Bordeaux-Cartierville,"1,40",Conseil de Ville,Coderre,GIANNOU Effie,5277
Ahuntsic-Cartierville,Bordeaux-Cartierville,"1,40",Conseil de Ville,Projet,NASSR Fadia,3048
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Autre,GURBERG Bernard,27
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Autre,ILUNGA Fabrice Ntompa,26
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Autre,LEMCO Tyler,13
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Autre,TESSIER Philippe,27
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Autre,THIBODEAU Gilbert,37
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Coalition,FORTIER Jean,97
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Coderre,CODERRE Denis,5069
Ahuntsic-Cartierville,Saint-Sulpice,"0,00",Mairie de Montréal,Projet,PLANTE Valérie,4645
Ahuntsic-Cartierville,Saint-Sulpice,"1,00",Mairie d'arrondissement,Coderre,CHITILIAN Harout,4578
Ahuntsic-Cartierville,Saint-Sulpice,"1,00",Mairie d'arrondissement,Projet,THUILLIER Émilie,5236
Ahuntsic-Cartierville,Saint-Sulpice,"1,20",Conseil de Ville,Coderre,PARIZEAU Hadrien,5276
Ahuntsic-Cartierville,Saint-Sulpice,"1,20",Conseil de Ville,Projet,SFEIR Ramzi,4541
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Autre,GURBERG Bernard,25
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Autre,ILUNGA Fabrice Ntompa,27
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Autre,LEMCO Tyler,8
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Autre,TESSIER Philippe,14
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Autre,THIBODEAU Gilbert,18
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Coalition,FORTIER Jean,112
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Coderre,CODERRE Denis,5024
Ahuntsic-Cartierville,Sault-au-Récollet,"0,00",Mairie de Montréal,Projet,PLANTE Valérie,4958
Ahuntsic-Cartierville,Sault-au-Récollet,"1,00",Mairie d'arrondissement,Coderre,CHITILIAN Harout,4258
Ahuntsic-Cartierville,Sault-au-Récollet,"1,00",Mairie d'arrondissement,Projet,THUILLIER Émilie,5827
Ahuntsic-Cartierville,Sault-au-Récollet,"1,10",Conseil de Ville,Coalition,GIANCASPRO Giovanna,574
Ahuntsic-Cartierville,Sault-au-Récollet,"1,10",Conseil de Ville,Coderre,PAGÉ Lorraine,4526
Ahuntsic-Cartierville,Sault-au-Récollet,"1,10",Conseil de Ville,Projet,NORMAND Jérôme,4980
Anjou,Centre,"0,00",Mairie de Montréal,Autre,GURBERG Bernard,21
Anjou,Centre,"0,00",Mairie de Montréal,Autre,ILUNGA Fabrice Ntompa,22
Anjou,Centre,"0,00",Mairie de Montréal,Autre,LEMCO Tyler,14
